,Age,MonthlyIncome,DurationOfPitch,Passport,ProductPitched,PitchSatisfactionScore,NumberOfTrips,NumberOfFollowups,Designation,PreferredPropertyStar,CityTier,MaritalStatus_Unmarried,TotalVisiting,Gender,Occupation_Small Business,Occupation_Salaried,OwnCar,Occupation_Large Business,TypeofContact_Company Invited
34,0.13953488372093026,-1.2390606223765128,-1.1650023144655137,1,0,3,3.0,3.0,2,3.0,1,0,5.0,1,1,0,1,0,0
4567,0.7674418604651162,2.6006179137062935,-0.7908081211089137,0,3,5,3.0,4.0,3,5.0,1,0,6.0,1,0,1,1,0,1
2706,0.34883720930232565,-0.5309403019564563,-0.7908081211089137,0,2,4,6.0,5.0,0,5.0,1,1,5.0,1,0,0,0,1,0
1106,0.2790697674418605,0.2366374674401792,-1.1650023144655137,0,2,4,2.0,4.0,0,5.0,3,0,4.0,1,0,1,1,0,0
4825,0.18604651162790697,-0.7413281983351195,-0.2918825299667802,0,0,5,6.0,4.0,2,5.0,1,0,4.0,1,0,1,1,0,0
4309,0.6046511627906977,-0.5146342457153877,1.5790884368162204,0,0,4,2.0,4.0,2,3.0,1,0,7.0,1,1,0,1,0,1
4533,0.37209302325581395,-0.1608723670219644,-1.0402709166799804,0,2,4,3.0,2.0,0,5.0,3,0,5.0,1,1,0,0,0,0
2712,0.6511627906976744,1.720090876688599,1.454357039030687,1,3,3,2.0,4.0,3,3.0,1,0,5.0,1,1,0,0,0,0
4366,0.6511627906976744,-0.008152230520250393,-0.7908081211089137,0,2,5,2.0,4.0,0,4.0,3,0,7.0,1,0,1,1,0,0
1275,0.7674418604651162,0.9131399471001154,-0.7908081211089137,0,1,4,3.0,3.0,1,3.0,1,0,3.0,0,0,0,1,1,0
1258,0.2558139534883721,-1.2756498217467152,-0.6660767233233803,0,0,4,2.0,4.0,2,5.0,1,0,3.0,0,0,0,0,1,0
376,0.7674418604651162,-0.7134885901186612,0.5812372545319534,0,2,3,5.0,0.0,0,3.0,3,0,3.0,0,0,1,0,0,0
3722,0.4418604651162791,0.691019644401659,0.20704306117535332,1,1,5,2.0,4.0,1,5.0,1,0,5.0,1,0,1,1,0,0
2328,0.813953488372093,2.0048502978740865,-0.2918825299667802,0,4,1,4.0,3.0,4,3.0,1,0,3.0,0,1,0,1,0,0
1781,0.6279069767441862,-0.6590024997521643,-0.2918825299667802,0,1,1,2.0,3.0,1,5.0,1,0,3.0,1,0,1,1,0,1
1486,0.32558139534883723,-1.0392120062512231,-0.541345325537847,1,0,1,1.0,1.0,2,4.0,1,0,5.0,1,0,1,1,0,0
3983,0.4418604651162791,-0.2899288365396888,0.08231166338981993,1,0,1,2.0,5.0,2,3.0,1,0,7.0,1,1,0,1,0,0
325,0.3023255813953488,0.08332076790525537,-0.2918825299667802,0,1,2,2.0,4.0,1,3.0,1,0,3.0,0,0,1,1,0,1
625,0.6279069767441862,0.44483796603040643,-0.04241973439571344,1,1,2,5.0,3.0,1,5.0,3,0,3.0,1,1,0,1,0,0
1163,0.45633174702942136,-0.234050765762369,0.08231166338981993,0,0,1,2.0,3.0,2,4.0,1,0,3.0,0,1,0,1,0,0
1530,0.32558139534883723,-0.469693163880248,-1.1650023144655137,1,2,4,2.0,3.0,0,3.0,1,0,3.0,1,1,0,1,0,0
2913,0.34883720930232565,-0.02763995627177119,0.3317744589608867,0,2,3,2.0,3.0,0,3.0,3,0,5.0,1,0,1,1,0,1
1169,0.45633174702942136,-0.9956629048269062,-0.16715113218124683,0,0,4,1.0,1.0,2,3.0,1,0,2.0,0,1,0,0,0,0
3989,0.32558139534883723,-0.08391573573789757,-0.04241973439571344,0,2,5,3.0,4.0,0,3.0,1,1,7.0,0,0,1,1,0,0
3040,0.41860465116279066,-0.465318368303376,-1.0402709166799804,0,0,3,5.0,2.0,2,3.0,1,1,4.0,0,0,1,0,0,0
4448,0.8372093023255814,1.9821809026121133,-0.16715113218124683,0,3,1,5.0,2.0,3,3.0,1,0,5.0,1,0,1,0,0,0
548,0.5813953488372093,-0.3420286747733465,0.7059686523174868,0,2,5,4.0,4.0,0,3.0,3,0,3.0,1,0,1,0,0,1
3146,0.3023255813953488,0.48083060236739894,-0.04241973439571344,0,1,3,7.0,4.0,1,3.0,3,0,5.0,1,0,1,1,0,0
4676,0.2093023255813954,-0.5575867841064949,-0.7908081211089137,1,0,5,8.0,4.0,2,5.0,1,0,4.0,1,0,1,0,0,1
2707,0.6744186046511628,2.39142314339405,-0.7908081211089137,1,3,5,5.0,6.0,3,4.0,3,0,4.0,0,0,0,1,1,0
4526,0.2558139534883721,-0.013322443474735502,-0.7908081211089137,1,2,3,3.0,4.0,0,4.0,3,0,5.0,0,1,0,1,0,0
2622,0.6744186046511628,1.1149771066694378,-1.0402709166799804,0,1,2,3.0,4.0,1,5.0,3,0,6.0,0,1,0,1,0,0
251,0.4883720930232558,0.48003518498978587,-0.9155395188944471,0,1,2,1.0,3.0,1,3.0,1,1,4.0,0,0,0,1,1,1
4202,0.2093023255813954,-0.49176599610901134,0.9554314478885536,1,0,1,4.0,4.0,2,4.0,1,0,4.0,1,1,0,1,0,0
2850,0.813953488372093,0.6210229151717067,-0.6660767233233803,1,1,2,4.0,5.0,1,3.0,1,0,4.0,1,1,0,0,0,0
4813,0.744186046511628,2.75711628275167,-0.541345325537847,0,4,3,3.0,5.0,4,3.0,1,0,5.0,1,1,0,0,0,0
419,0.2790697674418605,-1.2780360738795544,-0.7908081211089137,0,0,3,5.0,3.0,2,3.0,1,0,3.0,1,0,1,0,0,1
815,0.06976744186046513,-1.2834051411784428,-1.1650023144655137,1,0,5,2.0,4.0,2,4.0,1,1,5.0,0,0,0,0,1,0
3679,0.6744186046511628,1.0980744873951596,-0.7908081211089137,1,1,3,6.0,4.0,1,3.0,3,0,7.0,1,0,1,0,0,0
4319,0.18604651162790697,-0.16206549308838403,-0.6660767233233803,0,0,5,7.0,4.0,2,5.0,1,0,6.0,1,1,0,1,0,0
3723,0.6279069767441862,-0.49793048078551283,-1.0402709166799804,1,0,3,3.0,4.0,2,4.0,1,0,5.0,1,1,0,1,0,1
4807,0.2790697674418605,-0.2159550204216711,-0.9155395188944471,0,0,1,3.0,4.0,2,3.0,1,0,7.0,0,0,1,1,0,0
1967,0.6046511627906977,2.1852111882478553,-0.7908081211089137,1,4,1,5.0,3.0,4,3.0,1,0,3.0,1,0,1,0,0,0
2549,0.9767441860465117,2.783563910557305,-0.7908081211089137,0,4,2,3.0,5.0,4,3.0,2,0,5.0,0,0,1,1,0,1
1854,0.41860465116279066,-0.18453603400595392,-0.9155395188944471,0,1,1,2.0,4.0,1,3.0,3,0,4.0,1,1,0,1,0,0
4357,0.11627906976744184,-0.18930853827163246,-0.541345325537847,0,0,5,7.0,5.0,2,3.0,1,1,5.0,1,0,0,0,1,1
4304,0.6046511627906977,1.8871285259873485,0.4565058567464201,0,3,3,3.0,5.0,3,4.0,1,0,5.0,1,0,1,1,0,0
791,0.39534883720930236,0.2103886939789471,-0.6660767233233803,1,1,4,1.0,3.0,1,5.0,3,1,3.0,1,0,0,1,1,0
1752,0.2558139534883721,-0.7894509496807116,-0.2918825299667802,0,2,1,2.0,3.0,0,3.0,3,1,3.0,1,0,1,0,0,1
490,0.4651162790697675,-1.1742341061010457,-1.1650023144655137,0,0,2,4.0,3.0,2,5.0,1,1,3.0,0,0,1,1,0,0
2728,0.2093023255813954,-0.020878908562059893,0.3317744589608867,1,2,3,3.0,4.0,0,5.0,1,0,5.0,1,1,0,1,0,1
3020,0.2325581395348838,-0.10022179197896598,-1.1650023144655137,0,2,3,2.0,4.0,0,3.0,3,0,5.0,1,1,0,0,0,1
4077,0.9302325581395349,0.9133388014445186,1.9532826301728206,1,1,4,5.0,2.0,1,3.0,1,0,4.0,1,0,1,1,0,0
3523,0.5116279069767442,0.701956633343839,-0.2918825299667802,0,1,3,6.0,4.0,1,4.0,1,1,5.0,0,0,1,0,0,0
661,0.5813953488372093,-0.747492683011621,-0.2918825299667802,0,2,3,5.0,3.0,0,4.0,1,0,2.0,0,0,1,1,0,0
160,0.09302325581395354,-1.2330949920444148,1.2048942434596204,0,0,2,2.0,3.0,2,3.0,1,0,4.0,1,1,0,0,0,0
3222,0.6744186046511628,-0.04593455595687234,-0.04241973439571344,1,2,2,2.0,5.0,0,5.0,1,0,7.0,0,0,1,1,0,0
4704,0.37209302325581395,0.4519967224289243,-0.41661392775231354,0,1,3,6.0,5.0,1,3.0,1,0,5.0,1,0,1,1,0,0
4100,0.5348837209302326,2.821147381649524,-0.541345325537847,0,4,5,3.0,4.0,4,3.0,1,0,5.0,0,1,0,1,0,0
1997,0.32558139534883723,-0.6220155916931555,0.08231166338981993,0,2,4,2.0,3.0,0,3.0,3,1,3.0,1,1,0,1,0,0
2479,0.6046511627906977,-0.43767761443132097,-0.7908081211089137,0,0,2,3.0,3.0,2,3.0,1,0,6.0,0,1,0,0,0,0
4111,0.5813953488372093,0.08332076790525537,1.5790884368162204,0,2,1,4.0,4.0,0,3.0,1,0,4.0,0,1,0,0,0,1
4446,0.6976744186046512,0.022670192862256987,0.7059686523174868,0,2,1,4.0,4.0,0,5.0,3,1,5.0,1,1,0,1,0,0
469,0.32558139534883723,-0.7590262349870108,-0.2918825299667802,0,2,3,1.0,2.0,0,3.0,3,0,3.0,1,0,1,1,0,1
2057,0.7906976744186046,-1.0688413035673108,0.20704306117535332,0,2,1,1.0,3.0,0,3.0,1,0,2.0,0,0,1,1,0,0
3551,0.4883720930232558,0.2447904955607134,0.20704306117535332,0,2,3,5.0,4.0,0,3.0,2,0,7.0,1,0,1,0,0,1
2385,0.06976744186046513,-1.173040980034626,1.0801628456740868,1,2,5,1.0,3.0,0,3.0,3,0,4.0,0,1,0,0,0,1
353,0.4418604651162791,-0.5070777806280634,-0.41661392775231354,1,2,3,5.0,2.0,0,5.0,1,0,3.0,1,1,0,1,0,0
4511,0.5813953488372093,0.2418076803946643,-1.0402709166799804,1,2,3,2.0,5.0,0,3.0,1,0,4.0,0,0,1,0,0,0
420,0.2558139534883721,0.6782929663598495,-0.7908081211089137,0,1,2,2.0,4.0,1,3.0,1,0,5.0,1,1,0,1,0,0
4572,0.6279069767441862,-0.4547790880500025,0.08231166338981993,1,0,3,3.0,4.0,2,5.0,1,0,5.0,1,0,1,1,0,0
1495,0.813953488372093,2.101891217942884,-0.541345325537847,0,4,4,5.0,3.0,4,3.0,1,0,2.0,0,0,1,1,0,0
509,0.34883720930232565,-0.15888382357793165,-0.41661392775231354,0,2,5,4.0,3.0,0,3.0,1,0,1.0,1,0,1,1,0,1
4320,0.813953488372093,0.6210229151717067,-0.6660767233233803,1,1,1,4.0,5.0,1,3.0,1,0,4.0,1,1,0,1,0,0
1570,0.4418604651162791,-1.282808578145233,-0.41661392775231354,1,0,1,5.0,3.0,2,5.0,2,0,5.0,1,0,1,0,0,0
4678,0.2558139534883721,-0.7544525850657355,-0.2918825299667802,0,0,5,3.0,4.0,2,4.0,3,0,7.0,1,1,0,0,0,0
1121,0.41860465116279066,-0.33984127698491046,-1.1650023144655137,0,2,1,7.0,3.0,0,3.0,3,1,4.0,0,0,1,1,0,0
1431,0.32558139534883723,0.37742634327769675,-1.1650023144655137,0,1,5,2.0,3.0,1,3.0,3,0,2.0,0,1,0,1,0,0
2822,0.39534883720930236,0.09107608733698304,1.3296256412451537,1,2,2,2.0,3.0,0,3.0,3,1,7.0,1,1,0,1,0,1
542,0.4651162790697675,-0.13183963273908647,-1.1650023144655137,1,1,2,5.0,3.0,1,3.0,1,1,3.0,0,0,1,0,0,0
3735,0.4651162790697675,-0.12587400240698826,0.20704306117535332,0,2,4,3.0,4.0,0,5.0,1,1,4.0,1,1,0,0,0,0
4662,0.2093023255813954,0.024459881961886448,2.5769396191004876,0,2,3,2.0,6.0,0,5.0,3,1,6.0,1,1,0,1,0,1
2990,0.2790697674418605,-0.4382741774645308,0.20704306117535332,0,0,4,3.0,4.0,2,3.0,3,1,4.0,1,0,1,0,0,0
433,0.6511627906976744,0.10877412398887437,0.08231166338981993,1,1,2,3.0,4.0,1,3.0,3,0,4.0,0,1,0,1,0,0
4314,0.5116279069767442,2.8537594941316606,-1.0402709166799804,1,4,3,3.0,4.0,4,3.0,1,0,4.0,1,0,1,0,0,1
24,0.37209302325581395,-1.1064247746595295,-0.41661392775231354,0,0,2,3.0,3.0,2,5.0,1,1,3.0,1,1,0,1,0,0
4269,0.2093023255813954,0.08948525258175685,-1.0402709166799804,0,2,5,3.0,4.0,0,3.0,3,0,5.0,1,0,1,0,0,0
1089,0.4418604651162791,-0.234050765762369,-0.2918825299667802,0,2,1,2.0,3.0,0,3.0,1,0,2.0,1,1,0,0,0,0
4390,0.16279069767441867,-0.5406841648322166,1.0801628456740868,0,0,3,3.0,5.0,2,4.0,1,0,6.0,1,0,1,1,0,0
886,0.45633174702942136,-0.9833339354739032,-1.1650023144655137,1,0,4,1.0,3.0,2,4.0,1,0,5.0,1,1,0,1,0,0
4570,0.34883720930232565,-0.40784946277082995,2.078014027958354,1,0,5,3.0,4.0,2,3.0,1,1,4.0,1,0,1,0,0,0
843,0.18604651162790697,-0.234050765762369,-0.2918825299667802,0,0,5,2.0,1.0,2,3.0,1,0,3.0,1,1,0,1,0,0
534,0.813953488372093,1.2507946238968737,-0.2918825299667802,0,3,2,4.0,2.0,3,3.0,1,0,2.0,1,0,1,0,0,0
3675,0.6744186046511628,0.14238050819302758,0.5812372545319534,0,2,4,8.0,4.0,0,4.0,1,1,4.0,1,0,1,1,0,0
4061,0.5581395348837209,2.4528691358146615,0.20704306117535332,0,3,1,3.0,5.0,3,5.0,1,0,5.0,1,0,1,1,0,1
3301,0.6279069767441862,-0.3798110002099684,0.20704306117535332,1,0,3,3.0,4.0,2,3.0,1,1,7.0,1,0,1,1,0,0
4305,0.5348837209302326,-0.2779975758754924,-0.7908081211089137,0,2,5,8.0,5.0,0,3.0,1,0,6.0,0,1,0,1,0,0
807,0.4651162790697675,0.042953335991390874,0.08231166338981993,1,1,3,1.0,4.0,1,3.0,3,0,3.0,1,1,0,1,0,0
4773,0.2790697674418605,-0.5325311367116824,0.8307000501030202,1,0,5,2.0,6.0,2,3.0,1,0,6.0,0,0,1,1,0,0
1977,0.2558139534883721,-0.5892046248666153,-0.7908081211089137,0,2,1,2.0,3.0,0,3.0,3,0,3.0,0,1,0,0,0,0
2655,0.3023255813953488,0.7214443590953598,-1.0402709166799804,0,1,5,3.0,5.0,1,3.0,1,1,5.0,1,0,1,1,0,1
3402,0.39534883720930236,0.7266145720498449,0.08231166338981993,0,1,5,2.0,4.0,1,3.0,1,0,5.0,1,0,1,1,0,0
811,0.4651162790697675,-0.2332553483847559,-0.9155395188944471,0,1,4,1.0,3.0,1,4.0,3,1,2.0,1,1,0,1,0,0
2974,0.2325581395348838,0.5102610453390835,-1.0402709166799804,0,1,4,3.0,4.0,1,5.0,1,0,7.0,0,0,1,1,0,0
4783,0.6744186046511628,2.830692390180881,0.8307000501030202,0,4,3,3.0,4.0,4,4.0,1,0,5.0,1,0,1,1,0,0
882,0.41860465116279066,0.34362110472914026,-1.1650023144655137,1,1,2,3.0,5.0,1,5.0,1,0,5.0,0,0,0,1,1,0
2936,0.7209302325581396,2.099107257121238,-1.0402709166799804,0,3,4,2.0,5.0,3,5.0,1,0,5.0,0,0,1,0,0,0
1764,0.4418604651162791,-1.2324984290112049,-0.04241973439571344,1,0,1,2.0,3.0,2,3.0,1,0,3.0,1,1,0,0,0,1
3659,0.41860465116279066,0.016704562530158784,-0.7908081211089137,1,0,3,2.0,5.0,2,3.0,1,1,5.0,1,1,0,1,0,1
685,0.18604651162790697,-0.234050765762369,-0.2918825299667802,0,2,3,2.0,4.0,0,5.0,3,1,3.0,1,1,0,1,0,1
4252,0.3023255813953488,0.2529435236812476,-0.41661392775231354,0,2,1,3.0,5.0,0,3.0,3,0,3.0,0,1,0,1,0,0
1513,0.2093023255813954,0.040169375169745045,-0.16715113218124683,0,1,1,2.0,3.0,1,3.0,3,1,2.0,1,0,1,1,0,1
1166,0.6976744186046512,1.3279501095253436,-0.6660767233233803,0,3,5,3.0,4.0,3,3.0,1,0,3.0,1,1,0,1,0,1
3484,0.5348837209302326,1.7719918605778533,-0.04241973439571344,0,1,1,4.0,5.0,1,4.0,1,0,5.0,1,1,0,1,0,1
847,0.37209302325581395,-0.6325548719465289,-1.1650023144655137,0,2,2,1.0,4.0,0,5.0,1,1,5.0,1,1,0,1,0,1
27,0.5581395348837209,-0.33785273354087775,-0.16715113218124683,0,2,3,1.0,3.0,0,4.0,3,0,3.0,1,1,0,0,0,0
182,0.5348837209302326,-1.0706309926669402,1.3296256412451537,1,0,4,2.0,3.0,2,4.0,3,1,5.0,0,1,0,0,0,0
4583,0.5116279069767442,-0.48560151143250985,-0.2918825299667802,1,0,1,2.0,4.0,2,5.0,1,0,6.0,1,1,0,1,0,0
4657,0.9767441860465117,1.7658273759013519,-0.7908081211089137,1,3,5,5.0,5.0,3,3.0,1,1,5.0,0,0,1,1,0,0
2562,0.4418604651162791,-0.399895288994699,-0.6660767233233803,0,0,2,7.0,4.0,2,3.0,1,0,4.0,0,0,1,1,0,0
768,0.5116279069767442,-0.02545255848333518,2.078014027958354,0,2,2,2.0,3.0,0,5.0,3,0,4.0,1,1,0,1,0,0
2128,0.6046511627906977,-1.186165366765242,-0.04241973439571344,1,0,3,2.0,3.0,2,5.0,1,0,3.0,1,0,1,1,0,0
2930,0.4651162790697675,0.9457520595822522,-0.7908081211089137,1,2,3,6.0,4.0,0,3.0,3,0,6.0,1,1,0,0,0,0
3490,0.6279069767441862,-0.28356549751878407,1.454357039030687,0,0,5,3.0,4.0,2,4.0,1,1,5.0,1,0,1,1,0,0
949,0.4883720930232558,-0.7934280365687771,-0.2918825299667802,0,2,3,1.0,3.0,0,3.0,1,1,2.0,1,0,1,0,0,0
1099,0.6279069767441862,-0.2153584573884613,-1.1650023144655137,0,1,3,2.0,3.0,1,4.0,1,0,4.0,1,0,0,1,1,0
2964,0.7209302325581396,0.651049921176601,-0.7908081211089137,0,2,3,5.0,3.0,0,4.0,3,0,4.0,1,1,0,1,0,0
2233,0.37209302325581395,-1.2535769895179518,0.08231166338981993,1,0,1,2.0,3.0,2,3.0,3,0,3.0,0,0,1,0,0,0
1418,0.4651162790697675,-0.636929667523401,-0.41661392775231354,0,2,4,3.0,4.0,0,3.0,1,0,4.0,1,0,1,1,0,1
1060,0.13953488372093026,-1.0642676536460356,-0.04241973439571344,1,0,3,3.0,3.0,2,5.0,1,1,3.0,1,1,0,0,0,1
901,0.6976744186046512,-1.186165366765242,-0.9155395188944471,0,0,2,6.0,1.0,2,4.0,1,1,5.0,1,0,0,0,1,0
565,0.45633174702942136,-0.9980491569597455,0.08231166338981993,0,0,2,2.0,2.0,2,3.0,1,1,4.0,1,1,0,1,0,0
3095,0.6976744186046512,-0.06144519482032767,-0.7908081211089137,1,2,2,2.0,4.0,0,3.0,3,0,4.0,0,1,0,1,0,0
1015,0.37209302325581395,-1.0992660182610117,-1.1650023144655137,0,0,1,6.0,3.0,2,5.0,1,0,5.0,1,0,1,1,0,1
1286,0.45633174702942136,-1.0235025130433644,-0.9155395188944471,0,0,4,5.0,3.0,2,5.0,1,0,3.0,0,0,1,1,0,0
936,0.6279069767441862,1.8964746801743024,1.9532826301728206,0,4,4,4.0,3.0,4,4.0,1,1,3.0,0,1,0,1,0,1
482,0.3023255813953488,-0.234050765762369,0.4565058567464201,0,2,2,3.0,3.0,0,5.0,3,0,2.0,1,1,0,0,0,0
1177,0.744186046511628,0.9435646617938162,0.9554314478885536,0,1,3,6.0,4.0,1,5.0,1,0,2.0,0,0,1,1,0,0
2771,0.5116279069767442,0.077951700606367,-0.6660767233233803,1,2,4,6.0,4.0,0,3.0,3,0,5.0,0,1,0,1,0,0
537,0.2093023255813954,0.05349261624476437,0.08231166338981993,0,1,3,2.0,3.0,1,5.0,1,0,2.0,1,0,1,1,0,1
3685,0.34883720930232565,0.9473428943374784,1.3296256412451537,0,1,3,5.0,6.0,1,3.0,3,0,7.0,1,0,1,1,0,0
4097,0.7674418604651162,-0.22987482452990027,-1.0402709166799804,0,0,3,4.0,5.0,2,3.0,1,0,4.0,1,1,0,1,0,0
2483,0.37209302325581395,0.10539360013401873,-1.0402709166799804,0,2,3,4.0,3.0,0,5.0,3,0,4.0,0,0,1,1,0,1
71,0.2558139534883721,-1.1575303411711708,-0.9155395188944471,0,0,4,1.0,3.0,2,4.0,1,0,3.0,1,0,1,0,0,0
3993,0.6744186046511628,0.03480030787085667,-0.41661392775231354,1,2,5,2.0,4.0,0,4.0,2,0,7.0,1,1,0,1,0,0
4207,0.2093023255813954,0.1952757638042983,-0.541345325537847,1,2,1,3.0,5.0,0,3.0,3,1,4.0,1,1,0,1,0,0
1326,0.32558139534883723,0.27501635591001095,-0.9155395188944471,1,2,1,1.0,4.0,0,4.0,3,1,2.0,1,1,0,1,0,0
3460,0.32558139534883723,-0.7128920270854514,-0.04241973439571344,0,0,4,3.0,0.0,2,4.0,1,1,5.0,0,0,1,0,0,0
290,0.7209302325581396,2.0165827041938797,0.08231166338981993,1,4,3,1.0,3.0,4,5.0,1,1,2.0,0,0,1,0,0,1
4105,0.2325581395348838,-0.5104583044829191,0.08231166338981993,0,0,3,3.0,4.0,2,4.0,1,1,7.0,0,1,0,0,0,0
4291,0.4418604651162791,-0.45796075756045485,-0.7908081211089137,0,0,5,6.0,4.0,2,3.0,1,0,5.0,0,0,1,1,0,0
2062,0.6744186046511628,1.6361743433504174,-0.9155395188944471,1,3,4,2.0,3.0,3,3.0,1,0,2.0,0,0,1,1,0,0
4680,0.7674418604651162,2.8617136679077917,-0.7908081211089137,1,4,1,3.0,4.0,4,3.0,1,0,7.0,1,1,0,1,0,0
3631,0.4883720930232558,-0.022072034628479533,-1.0402709166799804,0,2,5,2.0,4.0,0,3.0,1,0,4.0,1,0,1,1,0,1
4286,0.41860465116279066,0.336860057019429,0.08231166338981993,0,2,1,2.0,5.0,0,4.0,1,1,6.0,1,0,1,0,0,0
3199,0.6511627906976744,2.5461318233397967,0.3317744589608867,0,3,4,3.0,4.0,3,3.0,3,0,5.0,0,0,1,1,0,0
1965,0.2093023255813954,-1.0903175727628642,-0.9155395188944471,0,0,5,1.0,3.0,2,5.0,3,0,3.0,1,1,0,1,0,0
2065,0.9302325581395349,2.1321170782921812,-0.9155395188944471,1,4,3,1.0,3.0,4,4.0,1,1,2.0,1,0,1,1,0,0
2168,0.39534883720930236,-0.7801047954937578,-0.2918825299667802,0,2,4,2.0,3.0,0,3.0,3,0,3.0,0,1,0,1,0,0
3208,0.2558139534883721,-0.7544525850657355,-0.2918825299667802,0,0,5,3.0,4.0,2,4.0,3,0,6.0,1,1,0,1,0,0
581,0.45633174702942136,-0.234050765762369,-1.1650023144655137,0,0,4,4.0,5.0,2,3.0,1,0,2.0,1,0,1,1,0,0
2773,0.6976744186046512,2.6753871472019246,-0.41661392775231354,0,4,2,3.0,4.0,4,3.0,1,0,5.0,1,0,1,0,0,0
1581,0.37209302325581395,-0.48719234618773605,-0.2918825299667802,1,2,5,2.0,5.0,0,3.0,1,1,3.0,1,0,1,1,0,1
738,0.4883720930232558,0.8387684222932911,-1.1650023144655137,0,3,3,2.0,4.0,3,3.0,1,0,4.0,0,0,1,0,0,0
680,0.41860465116279066,-0.7647930109747058,-0.2918825299667802,0,0,3,3.0,3.0,2,3.0,1,1,5.0,1,0,1,0,0,0
3203,0.6511627906976744,-0.5307414476120529,1.9532826301728206,0,0,4,3.0,4.0,2,4.0,2,1,4.0,1,1,0,0,0,0
4225,0.6511627906976744,0.07238377896307534,-0.16715113218124683,0,1,1,3.0,4.0,1,5.0,1,0,5.0,1,0,1,1,0,1
3714,0.39534883720930236,0.23524548702935627,-0.6660767233233803,0,2,1,7.0,6.0,0,3.0,3,1,4.0,0,0,1,1,0,0
1066,0.45633174702942136,-0.234050765762369,-0.6660767233233803,0,0,1,1.0,4.0,2,4.0,1,0,2.0,0,1,0,0,0,0
659,0.2325581395348838,-0.7190565117619528,-0.541345325537847,0,2,3,2.0,3.0,0,3.0,3,1,3.0,1,1,0,1,0,0
3767,0.2558139534883721,-0.4255474994227213,-1.0402709166799804,0,0,4,3.0,4.0,2,3.0,2,0,5.0,1,0,1,0,0,1
180,0.45633174702942136,-0.234050765762369,0.3317744589608867,1,0,4,1.0,3.0,2,3.0,1,0,5.0,0,1,0,1,0,0
2709,0.2790697674418605,0.35754090883736944,-0.7908081211089137,0,2,4,4.0,5.0,0,4.0,3,0,6.0,1,1,0,0,0,0
1521,0.45633174702942136,-1.010775835001555,-0.541345325537847,1,0,1,2.0,3.0,2,3.0,1,1,2.0,1,0,0,0,1,0
81,0.39534883720930236,-1.12650906344426,-1.1650023144655137,0,0,4,2.0,4.0,2,3.0,1,1,1.0,1,1,0,1,0,0
